function,primitive_calls,total_calls,total_time,cumulative_time
"('~', 0, ""<method 'run' of '_contextvars.Context' objects>"")",49561,49561,0.07437073500000001,3.065958138
"('~', 0, ""<method 'poll' of 'select.epoll' objects>"")",20703,20703,88.063566233,136.707801515
"('threading.py', 1056, '_bootstrap_inner')",1,3,1.7794000000000003e-05,23.268262689
"('selectors.py', 451, 'select')",20703,20703,0.08340760400000001,136.843758189
"('base_events.py', 651, 'run_until_complete')",3,3,0.005988747,114.785432111
"('base_events.py', 627, 'run_forever')",3,3,0.001430283,71.91203658
"('base_events.py', 1910, '_run_once')",20703,20703,0.127035069,140.151140829
"('sslproto.py', 435, 'buffer_updated')",8602,8602,0.023321477,1.227953176
"('events.py', 86, '_run')",49561,49561,0.036295013,3.102399771
"('runners.py', 64, 'close')",1,1,1.4515e-05,91.517800969
"('sslproto.py', 775, '_do_read__copied')",8554,8594,0.420456278,1.111635101
"('sslproto.py', 724, '_do_read')",8554,8594,0.021808866,1.1679646000000001
"('runners.py', 86, 'run')",1,1,4.26e-06,23.267697345000002
"('selector_events.py', 972, '_read_ready__get_buffer')",8602,8602,0.025862416000000003,1.322587409
"('runners.py', 61, '__exit__')",1,1,1.2489e-05,91.517847458
"('selector_events.py', 969, '_read_ready')",8642,8642,0.007626007000000001,1.3305739250000002
"('runners.py', 160, 'run')",1,1,9.52e-06,91.518033125
"('threading.py', 999, 'run')",1,3,1.4778000000000001e-05,23.268254972
"('threading.py', 1016, '_bootstrap')",1,3,0.002783568,48.644217287000004
